"AVG_PORD_INCR_PCNT","PPP","AVG_CNCL_CNT","OWNE_CNT","HG_PCNT","PORD_PCNT","PORD_CNT"
-0.05266,8.169,56099.67,44996,0.09579,0.97045,162760
0.07232,8.818,44526.67,52277,0.05615,0.98042,146563
0.01895,8.526,46737,43690,0.03467,0.93592,120166
0.04543,9.27,32114.67,39586,0.04246,0.82428,94507
0.03758,7.62,46474.33,38275,0.02217,0.97021,115611
-0.0493,7.345,34136,42877,0.04726,0.84069,101909
0.0056,7.721,40790,53028,0.04113,0.97557,139440
-0.05534,8.941,55621.67,39908,0.13533,0.98742,137685
0.0738,7.751,37979.33,36755,0.04067,0.95962,101548
0.07402,8.616,45623.67,35098,0.04233,0.92665,105578
0.00182,9.193,42204,44465,0.04755,0.95452,143611
0.07888,8.524,44077.33,42645,0.05868,0.96917,137089
0.0256,7.934,44121.67,39963,0.05198,0.99249,124780
-0.07853,6.911,45363.33,29924,0.02457,0.95046,109265
-0.00074,7.314,44594,39187,0.05087,0.97569,113120
0.11385,8.653,45107.67,69820,0.05802,0.95321,145280
-0.04067,7.649,40063,37135,0.04587,0.94469,105741
0.00015,7.212,38118.67,32044,0.03749,0.93113,120112
-0.02785,7.98,36314,42654,0.04472,0.8138,73106
0.03791,7.336,41534.33,41573,0.04941,0.97275,122987
0.0618,8.971,38905,34036,0.0326,0.94024,142937
-0.05258,6.704,41279.33,27509,0.01805,0.93434,120898
0.0133,7.348,47294.67,38521,0.04802,0.946,104251
0.02613,7.174,37636.33,48718,0.02815,0.88093,95455
-0.03847,5.644,32665.67,27518,0.05376,0.8143,86417
0.10277,9.552,39248.67,32823,0.01641,0.9416,145199
0.0436,7.262,39719.33,48416,0.02762,0.88575,92625
-0.11789,6.528,40930,37798,0.06088,0.86606,98819
0.0221,8.608,48512,46524,0.06094,0.97373,136604
0.05018,8.67,45242.67,38272,0.02738,0.96694,120577
0.04297,8.72,39048,33200,0.04786,0.94315,98572
-0.09602,6.777,66657,53507,0.099,0.68851,122880
0.06686,10.204,58056,48901,0.06054,0.96622,170091
-0.00477,7.446,43007.33,29108,0.01934,0.94222,92205
0.11828,8.814,32261.33,47163,0.04476,0.80243,121774
0.04313,7.763,43291.67,28787,0.02327,0.92122,96617
0.03566,8.138,46637.67,54622,0.05868,0.97103,139001
-0.02941,7.516,47533,48114,0.05729,0.96404,159193
0.09485,10.675,50704.33,60861,0.08639,0.9642,163014
-0.0493,8.431,49226,41775,0.05412,0.97176,116155
-0.02391,7.516,45589.67,36077,0.03723,0.94888,121253
0.00147,7.953,41062.67,36186,0.03092,0.9319,122393
-0.04415,7.352,40298.67,45672,0.05264,0.98031,120101
-0.0028,8.093,44869.33,47086,0.04462,0.95517,131084
-0.09872,6.346,38906.33,39740,0.04858,0.95894,106465
-0.06156,7.567,52009.33,30032,0.11316,0.9969,124489
0.07098,9.316,61613.67,55732,0.08529,0.95441,153444
0.10904,7.751,38963,47055,0.0372,0.86793,91237
0.02242,7.685,40783.67,33319,0.04596,0.95181,103716
-0.07787,7.261,41081,46858,0.01877,0.93312,86663
-0.01495,7.492,36134.33,40480,0.04834,0.97234,114889
0.07722,8.202,46569.67,43316,0.07114,0.97422,147440
-0.03129,7.833,47357.67,53723,0.05452,0.96469,124671
-0.02563,8.256,49420.67,52118,0.08334,0.97956,116912
0.06314,8.244,49681.33,53168,0.09097,0.97437,146676
-0.01496,8.183,51103.67,43988,0.07594,0.9757,124007
0.01773,7.99,35503.67,39530,0.04274,0.97236,110657
-0.07621,7.727,51596,47991,0.06979,0.97411,129572
0.04052,9.422,42488,43622,0.04897,0.94672,130857
-0.06597,7.438,39950,30027,0.0384,0.92975,102758
0.07782,9.061,56484.67,35377,0.11755,0.96283,147328
-0.14274,5.864,37270.33,43186,0.02736,0.81204,94524
-0.03045,7.73,41237,34565,0.03555,0.94455,118803
-0.06104,7.822,41534.33,40851,0.05546,0.9442,110080
0.03105,8.276,46847.67,29859,0.03092,0.9446,102583
-0.00297,8.507,42802.67,47592,0.06313,0.9628,135963
0.08019,9.345,73582.67,51072,0.07457,0.98105,141393
-0.04525,8.475,54759,40881,0.1072,0.93247,191518
-0.04554,8.27,42014.67,39077,0.05783,0.97861,115772
0.05234,9.347,55968.67,38305,0.09761,0.97161,136379
0.09017,10.872,52387.67,43469,0.11729,0.97393,154047
0.08516,8.596,45267.67,45145,0.03846,0.94767,133193
0.03333,7.503,43167.67,39381,0.05297,0.97014,120297
0.04059,8.475,43303,42444,0.02212,0.97336,120030
-0.02679,6.274,36102.33,24804,0.04846,0.77571,74772
0.04877,8.544,35881.33,45462,0.03775,0.81489,96444
-0.04232,6.85,46726,37172,0.03149,0.96903,111349
-0.00073,8.739,66637,54539,0.08025,0.97237,114451
-0.00739,7.217,40618.33,36647,0.06268,0.9541,111465
-0.03797,7.816,44044.33,43842,0.05786,0.96904,130892
0.06204,8.457,44911.67,57094,0.04575,0.94731,142998
-0.02836,8.228,51003.33,35103,0.12794,0.96868,149016
-0.08739,6.477,45796.33,35981,0.0618,0.99494,111659
-0.07443,6.921,43182.33,37736,0.03241,0.9752,132644
-0.01917,7.016,42846.33,41838,0.05132,0.96685,146884
0.11055,9.46,81367.33,50808,0.17502,1.09245,153311
0.017,8.83,46298.67,51292,0.06554,0.96919,143565
0.1061,9.178,39333.33,34562,0.05101,0.92322,111463
0.03598,8.154,43443.33,31483,0.03378,0.98341,125531
0.08361,8.895,46648.33,60008,0.0649,0.95213,146581
-0.05588,7.36,42123.33,32307,0.04519,0.93939,114533
0.05599,9.192,45682.33,46907,0.10621,0.97823,127770
0.00264,8.302,40169,31396,0.04649,0.9157,116770
0.14191,8.123,31451.67,42990,0.0505,0.81627,113080
-0.01784,8.178,50708,48414,0.06428,0.97602,146667
0.07406,9.156,48591.67,58928,0.08949,0.97749,145142
0.17512,9.441,45600,36422,0.029,0.9397,115738
0.08748,9.087,43156.33,63744,0.04596,0.97545,138992
-0.04795,8.212,55215.33,35189,0.13129,0.96947,112236
-0.01697,9.573,58407.67,60867,0.07364,0.99776,132338
0.02022,6.622,32899,32651,0.04485,0.82724,83283
0.10153,8.666,31053,43962,0.04461,0.8246,114660
-0.04403,7.504,46031.33,40029,0.02082,0.96542,144313
-0.07784,8.369,55325,54083,0.0879,0.97576,118042
-0.01144,7.04,45066.67,30299,0.02165,0.94277,83342
0.00434,8.257,47346.33,58459,0.05483,0.96946,133049
-0.04645,7.132,41859.33,39087,0.0563,0.93508,103252
-0.0471,7.337,78457.33,48924,0.16676,1.05249,143159
-0.03848,7.985,41012.33,35711,0.03844,0.93522,139520
0.00025,7.231,43170,24927,0.0189,0.94524,98132
0.1133,9.512,41634.67,35599,0.03283,0.95419,130532
-0.10278,7.225,57303.33,45308,0.07703,0.97281,127075
0.00289,8.694,47535.67,45115,0.0713,0.97869,139221
0.00439,8.61,87672.33,47034,0.19276,1.08798,159706
0.0635,9.552,58110.67,32679,0.10652,0.97138,128287
-0.0533,8.956,56142,39426,0.14161,0.96868,123662
0.14539,10.594,61201.67,49810,0.05638,0.96113,150885
0.14329,11.984,53155,48746,0.10462,0.98328,173682
0.05704,9.241,48575.33,57431,0.0722,0.97332,160506
-0.03012,7.537,46926,47314,0.03564,0.92684,111559
-0.03177,8.15,41800.67,44110,0.06984,0.93813,118789
0.04033,8.593,43223.67,53596,0.04732,0.97099,126673
0.07155,10.533,52832.33,56540,0.0805,0.97154,143795
0.02955,7.584,36823.67,54238,0.0447,0.80656,107377
-0.00661,7.438,39916.67,39130,0.01143,0.85201,91479
-0.05105,7.557,39307.33,43055,0.01998,0.84262,122103
0.03167,8.627,42448.67,33520,0.03159,0.94426,115701
0.03277,7.713,45009.67,39791,0.02494,0.94292,119295
-0.09129,7.948,45992.33,39297,0.04963,0.95675,86384
0.09448,9.731,37466.33,95,0.02151,0.87269,90473
0.01142,7.692,44811.67,30231,0.01964,0.93146,88582
0.04879,8.489,43222,42827,0.05698,0.9505,126168
-0.07779,6.799,43423.67,43507,0.05447,0.98261,120630
0.05604,8.308,37530.67,31153,0.04751,0.92366,131743
0.04404,7.375,47895.33,40176,0.05006,0.93045,104532
0.03332,5.717,34926.67,25877,0.05458,0.84696,73146
-0.02339,7.674,40669,26578,0.0365,0.90697,120902
-0.01874,7.687,42219,42881,0.05554,0.96544,90292
0.05693,8.906,44886,59735,0.03258,0.95265,138299
0.01121,8.544,48307.67,36872,0.08644,0.98663,107595
-0.01298,6.775,43140.67,39727,0.02618,0.93867,93570
-0.01893,7.723,39872.67,31996,0.0546,0.9371,94944
0.07126,9.66,52347.67,36743,0.10988,0.96781,138177
-0.02984,7.405,52299,51220,0.0831,0.97048,137834
-0.04732,7.707,42491.67,35641,0.06158,0.97473,113584
0.19749,11.018,38313.67,37909,0.01921,0.93996,126864
-0.01335,6.713,39121,34099,0.03948,0.9633,115353
0.07042,9.154,46319,53231,0.02461,0.96263,134668
-0.00638,8.723,46432.33,44982,0.09185,0.97288,162454
-0.00432,8.519,46247,34795,0.03769,0.94441,108806
0.04114,6.368,30989,33088,0.03852,0.817,106650
